,Log Loss Value,Accuracy Value,Train-Test Accuracy Difference Value
118,0.6895521947991282,0.5261194029850746,-0.003731343283582156
217,0.5885136084650164,0.6204690831556503,-0.023454157782516027
316,0.5912169811716349,0.6840796019900498,-0.007462686567164201
415,0.5868377568782354,0.6895522388059702,0.0194029850746269
514,0.6182624609067228,0.664179104477612,0.03731343283582089
613,0.6204777731933632,0.681592039800995,0.02238805970149249
712,0.5949336641420098,0.6940298507462687,0.024520255863539453
811,0.5715421093810046,0.7014925373134329,0.02238805970149249
226,0.582788145806224,0.6430348258706468,-0.0012437810945273853
325,0.5864420922936681,0.6791044776119403,0.04228855721393043
424,0.6006457671790026,0.6791044776119403,0.022388059701492602
523,0.6203121867712166,0.664179104477612,0.03731343283582089
622,0.6157102231814338,0.6716417910447762,0.04726368159203975
721,0.5948867941780898,0.6865671641791045,0.031982942430703654
